Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Average,Customer_Segment,Risk_Score,Risk_Level,Recommended_Action
12346.0,326,12,77556.46,2,5,5,12,4.0,At Risk,30.0,Low Risk,Loyalty / Upsell Campaign
12347.0,2,8,4921.53,5,4,5,14,4.666666666666667,Champions,5.0,Low Risk,Loyalty / Upsell Campaign
12348.0,75,5,2019.4,3,4,4,11,3.6666666666666665,Potential Loyalists,30.0,Low Risk,Loyalty / Upsell Campaign
12349.0,19,4,4428.69,5,3,5,13,4.333333333333333,Loyal Customers,10.0,Low Risk,Loyalty / Upsell Campaign
12350.0,310,1,334.4,2,1,2,5,1.6666666666666667,Lost Customers,65.0,High Risk,Win-Back Campaign
12351.0,375,1,300.93,2,1,2,5,1.6666666666666667,Lost Customers,65.0,High Risk,Win-Back Campaign
12352.0,36,10,2849.84,4,5,4,13,4.333333333333333,Champions,15.0,Low Risk,Loyalty / Upsell Campaign
12353.0,204,2,406.76,2,2,2,6,2.0,Lost Customers,60.0,High Risk,Win-Back Campaign
12354.0,232,1,1079.4,2,1,3,6,2.0,Lost Customers,60.0,High Risk,Win-Back Campaign
12355.0,214,2,947.61,2,2,3,7,2.3333333333333335,Lost Customers,55.0,Medium Risk,Customer Engagement Campaign
12356.0,23,6,6371.73,4,4,5,13,4.333333333333333,Champions,15.0,Low Risk,Loyalty / Upsell Campaign
12357.0,33,3,18287.66,4,3,5,12,4.0,Loyal Customers,20.0,Low Risk,Loyalty / Upsell Campaign
12358.0,2,5,3887.07,5,4,5,14,4.666666666666667,Champions,5.0,Low Risk,Loyalty / Upsell Campaign
12359.0,58,10,8873.39,4,5,5,14,4.666666666666667,Champions,10.0,Low Risk,Loyalty / Upsell Campaign
12360.0,52,8,4252.89,4,4,5,13,4.333333333333333,Champions,15.0,Low Risk,Loyalty / Upsell Campaign
12361.0,287,4,511.25,2,3,2,7,2.3333333333333335,At Risk,55.0,Medium Risk,Customer Engagement Campaign
12362.0,3,11,5356.23,5,5,5,15,5.0,Champions,0.0,Low Risk,Loyalty / Upsell Campaign
12363.0,110,2,552.0,3,2,2,7,2.3333333333333335,Potential Loyalists,50.0,Medium Risk,Customer Engagement Campaign
12364.0,8,4,1313.1,5,3,4,12,4.0,Loyal Customers,15.0,Low Risk,Loyalty / Upsell Campaign
12365.0,291,2,641.38,2,2,3,7,2.3333333333333335,Lost Customers,55.0,Medium Risk,Customer Engagement Campaign
12366.0,634,1,500.24,1,1,2,4,1.3333333333333333,Lost Customers,75.0,High Risk,Win-Back Campaign
12367.0,4,1,168.9,5,1,1,7,2.3333333333333335,New / Promising,40.0,Medium Risk,Customer Engagement Campaign
12368.0,628,1,917.6999999999999,1,1,3,5,1.6666666666666667,Lost Customers,70.0,High Risk,Win-Back Campaign
12369.0,413,3,1791.15,1,3,4,8,2.6666666666666665,At Risk,55.0,Medium Risk,Customer Engagement Campaign
12370.0,51,7,4316.56,4,4,5,13,4.333333333333333,Champions,15.0,Low Risk,Loyalty / Upsell Campaign
12371.0,45,5,4067.38,4,4,5,13,4.333333333333333,Champions,15.0,Low Risk,Loyalty / Upsell Campaign
12372.0,72,3,1298.04,3,3,4,10,3.3333333333333335,Potential Loyalists,35.0,Medium Risk,Customer Engagement Campaign
12373.0,311,3,1127.65,2,3,3,8,2.6666666666666665,At Risk,50.0,Medium Risk,Customer Engagement Campaign
12374.0,25,4,2989.2200000000003,4,3,5,12,4.0,Loyal Customers,20.0,Low Risk,Loyalty / Upsell Campaign
12375.0,11,2,457.5,5,2,2,9,3.0,New / Promising,30.0,Low Risk,Loyalty / Upsell Campaign
12376.0,390,2,503.15,2,2,2,6,2.0,Lost Customers,60.0,High Risk,Win-Back Campaign
12377.0,315,4,3426.32,2,3,5,10,3.3333333333333335,At Risk,40.0,Medium Risk,Customer Engagement Campaign
12378.0,130,2,5416.32,3,2,5,10,3.3333333333333335,Potential Loyalists,35.0,Medium Risk,Customer Engagement Campaign
12379.0,82,4,1620.22,3,3,4,10,3.3333333333333335,Potential Loyalists,35.0,Medium Risk,Customer Engagement Campaign
12380.0,22,11,9676.300000000001,4,5,5,14,4.666666666666667,Champions,10.0,Low Risk,Loyalty / Upsell Campaign
12381.0,5,5,1845.31,5,4,4,13,4.333333333333333,Champions,10.0,Low Risk,Loyalty / Upsell Campaign
12383.0,185,5,1850.56,3,4,4,11,3.6666666666666665,Potential Loyalists,30.0,Low Risk,Loyalty / Upsell Campaign
12384.0,29,2,585.27,4,2,2,8,2.6666666666666665,New / Promising,40.0,Medium Risk,Customer Engagement Campaign
12385.0,379,1,1938.4,2,1,4,7,2.3333333333333335,Lost Customers,55.0,Medium Risk,Customer Engagement Campaign
12386.0,338,2,401.9,2,2,2,6,2.0,Lost Customers,60.0,High Risk,Win-Back Campaign
12387.0,415,1,143.94,1,1,1,3,1.0,Lost Customers,80.0,High Risk,Win-Back Campaign
12388.0,16,8,3901.11,5,4,5,14,4.666666666666667,Champions,5.0,Low Risk,Loyalty / Upsell Campaign
12389.0,403,3,1433.33,2,3,4,9,3.0,At Risk,45.0,Medium Risk,Customer Engagement Campaign
12390.0,80,1,549.84,3,1,2,6,2.0,Potential Loyalists,55.0,Medium Risk,Customer Engagement Campaign
12391.0,22,6,2724.84,4,4,4,12,4.0,Champions,20.0,Low Risk,Loyalty / Upsell Campaign
12392.0,591,1,234.75000000000003,1,1,1,3,1.0,Lost Customers,80.0,High Risk,Win-Back Campaign
12393.0,72,6,2399.4500000000003,3,4,4,11,3.6666666666666665,Potential Loyalists,30.0,Low Risk,Loyalty / Upsell Campaign
12394.0,64,2,1272.48,3,2,4,9,3.0,Potential Loyalists,40.0,Medium Risk,Customer Engagement Campaign
