Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Average,Customer_Segment,Recency_Risk,Frequency_Risk,Monetary_Risk,Risk_Score,Risk_Level
16651.0,587,1,136.2,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16645.0,736,1,160.39,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16622.0,544,1,225.4,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
12487.0,731,1,285.29999999999995,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
12470.0,690,1,211.95,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
12467.0,423,1,132.8,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
12466.0,682,1,56.73,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16605.0,724,1,60.48,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16578.0,626,1,156.6,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16564.0,569,1,87.8,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16562.0,477,1,223.85999999999999,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16548.0,599,1,30.15,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16547.0,546,1,104.25999999999999,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16540.0,414,1,205.75,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16537.0,641,1,23.35,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16530.0,668,1,48.349999999999994,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16508.0,630,1,240.95,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16507.0,572,1,142.71,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16490.0,436,1,205.41000000000003,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16486.0,538,1,134.36,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16459.0,730,1,71.78999999999999,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16443.0,521,1,162.24,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16417.0,493,1,35.7,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16410.0,734,1,130.32,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16408.0,591,1,231.93,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16397.0,628,1,123.13,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16396.0,476,1,137.8,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16388.0,654,1,186.05,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16371.0,449,1,157.2,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16334.0,492,1,263.73,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16312.0,432,1,171.15,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16301.0,737,1,107.33,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16299.0,477,1,193.65,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16294.0,477,1,126.05000000000001,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16291.0,682,1,117.72,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16289.0,462,1,136.31,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16288.0,470,1,129.85,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
16285.0,646,1,176.9,1,1,1,3,1.0,Lost Customers,0.8,0.8,0.8,80.0,High Risk
