InvoiceDate,Revenue,Units,Orders,Customers
2009-12-01,822483.95,425461,1682,955
2010-01-01,651155.112,390672,1105,720
2010-02-01,551504.726,381879,1201,772
2010-03-01,830915.261,526026,1681,1057
2010-04-01,678875.252,366705,1462,942
2010-05-01,657705.5,395868,1500,966
2010-06-01,749537.31,406820,1645,1041
2010-07-01,648810.27,337895,1529,928
2010-08-01,695251.91,472380,1425,911
2010-09-01,921696.991,583864,1839,1145
2010-10-01,1161902.22,619996,2301,1497
2010-11-01,1464293.142,725161,2747,1607
2010-12-01,821452.73,358019,1559,885
2011-01-01,689811.61,387099,1086,741
2011-02-01,522545.56,282934,1100,758
2011-03-01,716215.26,376599,1454,974
2011-04-01,536968.491,307953,1246,856
2011-05-01,769296.61,395001,1681,1056
2011-06-01,760547.01,388511,1533,991
2011-07-01,718076.121,399693,1475,949
2011-08-01,757841.38,421020,1361,935
2011-09-01,1056435.192,569573,1837,1266
2011-10-01,1151263.73,621029,2040,1364
2011-11-01,1503866.78,751377,2769,1664
2011-12-01,637808.33,313613,819,615
